query,openalex_id,doi,title,publication_year,publication_date,type,cited_by_count,is_oa,source,source_type,authors,institutions,countries,topics,concepts,abstract
artificial intelligence cultural heritage,https://openalex.org/W4396857839,https://doi.org/10.1038/s41598-024-61134-y,Image analysis and teaching strategy optimization of folk dance training based on the deep neural network,2024,2024-05-13,article,18,True,Scientific Reports,journal,Zhou Li,Shaanxi University of Technology; Universidad Católica de Murcia,CN; ES,Diversity and Impact of Dance; AI and Multimedia in Education; Human Motion and Animation,Artificial intelligence; Computer science; Dance; Naive Bayes classifier; Artificial neural network; Preprocessor; Machine learning; Support vector machine; Pattern recognition (psychology); Folk dance,"To improve the recognition effect of the folk dance image recognition model and put forward new suggestions for teachers' teaching strategies, this study introduces a Deep Neural Network (DNN) to optimize the folk dance training image recognition model. Moreover, a corresponding teaching strategy optimization scheme is proposed according to the experimental results. Firstly, the image preprocessing and feature extraction of DNN are optimized. Secondly, classification and target detection models are established to analyze the folk dance training images, and the C-dance dataset is used for experiments. Finally, the results are compared with those of the Naive Bayes classifier, K-nearest neighbor, decision tree classifier, support vector machine, and logistic regression models. The results of this study provide new suggestions for teaching strategies. The research results indicate that the optimized classification model shows a significant improvement in classification accuracy across various aspects such as action complexity, dance types, movement speed, dance styles, body dynamics, and rhythm. The accuracy, precision, recall, and F1 scores have increased by approximately 14.7, 11.8, 13.2, and 17.4%, respectively. In the study of factors such as different training images, changes in perspective, lighting conditions, and noise interference, the optimized model demonstrates a substantial enhancement in recognition accuracy and robustness. These findings suggest that, compared to traditional models, the optimized model performs better in identifying various dances and movements, enhancing the accuracy and stability of classification. Based on the experimental results, strategies for optimizing the real-time feedback and assessment mechanism in folk dance teaching, as well as the design of personalized learning paths, are proposed. Therefore, this study holds the potential to be applied in the field of folk dance, promoting the development and innovation of folk dance education."
artificial intelligence cultural heritage,https://openalex.org/W4283071517,https://doi.org/10.3389/fenvs.2022.942057,Effect of High-Tech Manufacturing Co-Agglomeration and Producer Service Industry on Regional Innovation Efficiency,2022,2022-06-17,article,33,True,Frontiers in Environmental Science,journal,Peng Cheng; Ehsan Elahi; Bingbing Fan; Zhenghui Li,Shandong University of Technology,CN,"Energy, Environment, Economic Growth; Regional Economics and Spatial Analysis; Spatial and Panel Data Analysis",Economies of agglomeration; Urban agglomeration; Business; Economic geography; Industrial organization; Manufacturing; Service (business); Tertiary sector of the economy; High tech; Economics,"The study discusses the effect of co-agglomeration between the producer service industry and the high-tech manufacturing industry on regional innovation efficiency. Based on data from public companies of three urban agglomerations from 2011 to 2019, we used the Data Envelopment Approach (DEA)- Banker, Charnes, Cooper (BCC) model to estimate real innovation efficiency. Results found that the industrial co-agglomeration and regional innovation efficiency have an “inverted U-shaped” relationship. The industrial co-agglomeration in regions with a low level of co-agglomeration plays an important role in expediting regional innovation efficiency than that in high-level areas of co-agglomeration. Moreover, it is confirmed that the prefecture-level cities of the three urban agglomerations have low innovation efficiency types and low collaborative agglomeration types. Yangtze and Pearl river delta urban agglomeration can promote innovation efficiency through industrial co-agglomeration. While for the industrial co-agglomeration of Beijing, Tianjin, and Hebei, the urban agglomeration has not become the main way to promote innovation efficiency. The regression results of different industry collaborative agglomeration found that the co-agglomeration of information transmission, computer services, software industries, and the high-tech manufacturing industry plays a significant role to improve innovation efficiency. Moreover, the co-agglomeration of the transportation service industry and high-tech manufacturing industry plays a relatively weak role in regional innovation efficiency. Therefore, it is suggested to formulate more adaptive and heterogeneous market policies. The paper provides an important idea for improving innovation efficiency by optimizing industrial spatial layout."
artificial intelligence cultural heritage,https://openalex.org/W7122417593,https://doi.org/10.71411/jassp.2025.485,An Exploration of the Digital Empowerment of Ancient Villages in the Context of Artificial Intelligence: A Case Study of Furong Ancient Village in Wenzhou,2025,2025-11-25,article,0,True,Journal of Asia Social Science Practice,journal,Huangwanhong Chen; Jianmei Cai; Renan Xu,Wenzhou Polytechnic; Zhejiang Sci-Tech University,CN,Artificial Intelligence Applications; Cultural Heritage Management and Preservation; Digital Storytelling and Education,Intangible cultural heritage; Cultural heritage; Context (archaeology); Inheritance (genetic algorithm); Cultural heritage management; Empowerment; Human settlement; Settlement (finance); Plan (archaeology); History,"With the continuous development of science and technology, artificial intelligence begins to enter people’s daily lives and gradually promote the protection and inheritance of traditional culture in many fields. Furong Village is an ancient village with more than a thousand years of history in Yongjia. There are many intangible cultural heritage here. Under the help of innovative AI multimodal technology, the intangible cultural heritage are transformed into dynamic video stories. These stories are integrated into cultural tourism, and a new type of digital integration plan has been formed, cultural exhibition, education and travel. Furong Ancient Village is located in Yongjia County. It is one of the earliest settlements existing for more than a thousand years. There is abundant intangible cultural heritage in Furong Ancient Village. Under the help of innovative AI multimodal technology, the intangible cultural heritage is transformed into dynamic video stories. These stories are integrated into cultural tourism, and a new type of digital integration plan has been formed, cultural exhibition, education and travel."
artificial intelligence cultural heritage,https://openalex.org/W4293671484,https://doi.org/10.1186/s40494-022-00766-7,Clustered and dispersed: exploring the morphological evolution of traditional villages based on cellular automaton,2022,2022-08-29,article,23,True,Heritage Science,journal,Xi Yang; Fuan Pu,Harbin Institute of Technology; Tsinghua University,CN,Land Use and Ecosystem Services; Urban Design and Spatial Analysis,Cellular automaton; Urban sprawl; Geography; Economic geography; Population; Spatial ecology; Spatial distribution; Common spatial pattern; Cartography; Ecology,"Abstract The spatial pattern of traditional villages can be generally divided into two main types: clustered and dispersed. In order to explore and compare the spatial evolutionary characteristics of different village patterns, and provide a reliable basis for spatial planning, a universal Cellular Automaton (CA) model was built and applied in different spatial simulations. Through model comparison, it was established that: (1) both types of villages have developed in the same cyclical changing mode of ""outlying + edge-expansion"", which was probably rooted in the inherent spatial sense of the ethnic group inhabiting village types; (2) the spatial growth of the clustered village was more relevant to the distribution structure of pre-existing buildings, whereas the spatial sprawl of a dispersed one was more connected to external natural factors; and (3) the development of every economic unit in a dispersed village was strictly restricted to the building area, and to the proportion of population inhabiting farmland area. Although village patterns developed under the same logical framework rooted in ethnic culture, their development tendency varied, with different dynamic mechanisms and constraints."
artificial intelligence cultural heritage,https://openalex.org/W4368367082,https://doi.org/10.20944/preprints202305.0161.v1,Research on the Application of CGAN in the Design of Historic Building Facades in Urban Renewal—Taking Fujian Putian Historic Districts as an Example,2023,2023-05-03,preprint,14,True,Preprints.org,repository,Hongpan Lin; Linsheng Huang; Yile Chen; Liang Zheng; Minling Huang; Yashan Chen,Macau University of Science and Technology; Putian University,CN; MO,3D Surveying and Cultural Heritage; Digital Media and Visual Art; Advanced Technology in Applications,Facade; Architectural engineering; Architectural style; Style (visual arts); Computer science; Generative Design; Adaptability; Engineering drawing; Artificial intelligence; Civil engineering,"In recent years, artificial intelligence technology has widely influenced the field of design, bringing new ideas to efficiently and systematically solve urban renewal design problems. The purpose of this study is to create a stylized generation technology for building facade decoration in historic districts, which will aid in the design and control of district style and form. The goal is to use the technical advantages of conditional generative adversarial network (CGAN) in image generation and style transfer to create a method for independently designing a specific facade decoration style by interpreting image data of historical district facades. The research in this paper is based on the historical district of Putian in Fujian Province, through an experiment of image data acquisition, image processing and screening, model training, image generation, and style matching of the target area. The research found that: (1) CGAN technology can better identify and generate the decorative style of historical districts. It can realize the overall or partial scheme design of the facade; (2) in terms of adaptability, this method can provide a better scheme reference for historical district reconstruction, facade renovation, and renovation design projects. Especially for districts with obvious decorative styles, the visualization effect is better. In addition, it also has certain reference significance for the determination and design of the facade decoration style of a specific historical building; (3) This method can better learn the internal laws of the complex district style and form so as to generate a new design with a clear decoration style attribute. It can be extended to other fields of historical heritage protection to enhance practitioners' stylized control of the heritage environment and improve the efficiency and ability of professional design."
artificial intelligence cultural heritage,https://openalex.org/W4296001823,https://doi.org/10.1155/2022/1115655,Digitally Protecting and Disseminating the Intangible Cultural Heritage in Information Technology Era,2022,2022-09-07,article,12,True,Mobile Information Systems,journal,Jing Liu,Xijing University,CN,"Digital Media and Visual Art; Martial Arts: Techniques, Psychology, and Education; Conservation Techniques and Studies",Computer science; Cultural heritage; Martial arts; Dissemination; Status quo; Presentation (obstetrics); Intangible cultural heritage; Multimedia; Digital preservation; World Wide Web,"This paper studies the digital protection and dissemination of digital information based on intangible cultural heritage. The “digital era” is an important milestone, and there is no problem with the development of martial arts heritage. First, this paper explains that the development of the current martial arts heritage is not without drawbacks, for example, ecological marginalization and imperfect development. Then, the author of this study determined the benefits of combining incomplete martial arts technology with digital technology, and took the digital protection of Xingyi boxing as an example to explore its practice and specialize in digital protection. Then, the problems and procedures in digital protection are studied. Finally, with Xingyi boxing as an experiment, this form leads to separation. The experimental results show that, according to the full understanding of the status quo of nondigital defense culture, the protection measures to improve digital protection are put forward: determining the digital distribution process and writing models, completing knowledge presentation view, document creation, multimedia interactive platform development, and digital technology protection of public heritage, without any problems."
artificial intelligence cultural heritage,https://openalex.org/W4385693282,https://doi.org/10.1186/s40494-023-01015-1,Digital inpainting of mural images based on DC-CycleGAN,2023,2023-08-09,article,25,True,Heritage Science,journal,Zhigang Xu; Chenmin Zhang; Yanpeng Wu,Lanzhou University of Technology,CN,Generative Adversarial Networks and Image Synthesis; Advanced Image Processing Techniques; Image Enhancement Techniques,Inpainting; Mural; Treasure; Artificial intelligence; Computer vision; Computer science; Similarity (geometry); Image restoration; Convolution (computer science); Image (mathematics),"Abstract Located in Dunhuang, northwest China, the Mogao Grottoes are a cultural treasure of China and the world. However, after more than 2000 years of weathering and destruction, many murals faded and were damaged. This treasure of human art is in danger. Mural inpainting through deep learning can permanently preserve mural information. Therefore, a digital restoration method combining the Deformable Convolution (DCN), ECANet, ResNet and Cycle Generative Adversarial Network (CycleGAN) is proposed. We name it DC-CycleGAN. Compared with other image digital inpainting methods, the proposed DC-CycleGAN based mural image color inpainting method has better inpainting effects and higher model performance. Compared with the current repair network, the Frechet Inception Distance (FID) value and the two-image structural similarity metric (SSIM) value are increased by 52.61% and 7.08%, respectively. Image color inpainting of Dunhuang murals can not only protect and inherit Chinese culture, but also promote academic research and development in related fields."
artificial intelligence cultural heritage,https://openalex.org/W4225380124,https://doi.org/10.3390/ijgi11050297,A New Urban Space Analysis Method Based on Space Syntax and Geographic Information System Using Multisource Data,2022,2022-05-04,article,35,True,ISPRS International Journal of Geo-Information,journal,Zhaolian Xing; Weimin Guo,Jiangnan University,CN,Urban Design and Spatial Analysis; Land Use and Ecosystem Services; Remote Sensing and Land Use,Space syntax; Computer science; Spatial analysis; Space (punctuation); Geography; Urban planning; Geographic information system; Transport engineering; Civil engineering; Cartography,"With large-scale urban demolition, the spatial pattern of the urban area in many cities has been destroyed, leading to the loss of urban regional identity; therefore, these urban spaces need to be urgently studied and protected. Previous studies on the spatial pattern of urban areas focused on spatial morphology or urban texture. However, due to difficulties in obtaining field survey data, such studies cannot comprehensively analyze the space; thus, the proposed conservation strategies are also more one-sided. In order to study the urban space more scientifically and systematically, and to propose a more operable spatial conservation strategy, this paper conducts a new urban space analysis method based on space syntax and the geographic information system using multisource data. With the help of software such as Depthmap and ArcGIS, as well as theories and methods such as space syntax and regression analysis, this article conducted a visual and quantitative analysis of the spatial information data such as integration of urban road networks, building height, architectural style, points of interest, number of lanes, and maximum road speed. Taking the old city of Wuxi as an example, the method’s feasibility was verified. The regression model analysis revealed that, when the integration of the area was higher, the buildings distributed around were multilane, fast lane, modern buildings, taller buildings, commercial buildings, and vice versa, which gives a scientific basis for the proposed strategy of creating regional characteristics of urban space. This new analysis method of urban space is of great significance for the study of urban problems, the exploration of urban characteristics, and the proposal of urban strategies."
artificial intelligence cultural heritage,https://openalex.org/W4407743732,https://doi.org/10.1111/modl.12977,"Praxeology, humanism, equity, and mixed methods: Four pillars for advancing second language acquisition and teaching",2025,2025-01-01,article,33,True,Modern Language Journal,journal,Yongyan Zheng; Lourdes Ortega; Simona Pekarek Doehler; Miyuki Sasaki; Søren Wind Eskildsen; Xuesong Gao,Fudan University; Georgetown University; UNSW Sydney; University of Neuchâtel; University of Southern Denmark; Waseda University,AU; CH; CN; DK; JP; US,EFL/ESL Teaching and Learning; Discourse Analysis in Language Studies; Second Language Learning and Teaching,Humanism; Praxeology; Equity (law); Linguistics; Sociology; Philosophy; Epistemology; Political science; Theology; Law,"Abstract In this article, we present our vision of a transformed second language acquisition and teaching (SLA/T) disciplinary community that approaches second language (L2) education through four pillars. The first pillar is praxeology (i.e., the study of human action) to highlight the sociocontextually emergent nature of L2 competence. It locates the emergence of L2 grammar and interactional competence in humans acting conjointly with others with and through their L2 across a large variety of social situations and transnational, transcultural, and translingual spaces. The second pillar, humanism, calls for a complex dynamic systems theory–informed understanding of individual differences, with learner agency as a central driving force. The third pillar is equity to confront the field with the recognition that language learning is profoundly inequitable and that most present forms of inequity and injustice, including language‐related inequities, are rooted in coloniality, a matrix of power invented in the late 15th century by European White settlers to ensure the success of colonial domination. Mixed methods research, the fourth pillar, emphasizing emic perspectives, can make findings generalizable and transferrable for practitioners and policymakers, while also revealing the nuanced voices of underrepresented language learner populations. We close by illustrating our vision with the vignette of a language learner and calling researchers to use these four pillars in collaborative pursuits of this SLA/T synergy."
artificial intelligence cultural heritage,https://openalex.org/W4386420798,https://doi.org/10.3389/feart.2023.1225585,Non-destructive testing research on the surface damage faced by the Shanhaiguan Great Wall based on machine learning,2023,2023-09-04,article,15,True,Frontiers in Earth Science,journal,Qian Li; Liang Zheng; Yile Chen; Lina Yan; Yuan-Fang Li; Jing Zhao,Macau University of Science and Technology; Yanshan University,CN; MO,3D Surveying and Cultural Heritage; Archaeological Research and Protection; Infrastructure Maintenance and Monitoring,Computer science; Photography; Artificial intelligence; Identification (biology); Slicing; Geology; Computer graphics (images); Visual arts; Botany; Art,"The Shanhaiguan Great Wall is a section of the Great Wall of the Ming Dynasty, which is a UNESCO World Heritage Site. Both sides of its basic structure are composed of rammed earth and gray bricks. The surface gray bricks sustain damage from environmental factors, resulting in a decline in their structural quality and even a threat to their safety. Traditional surface damage detection methods rely primarily on manual identification or manual identification following unmanned aerial vehicle (UAV) aerial photography, which is labor-intensive. This paper applies the YOLOv4 machine learning model to the gray surface bricks of the Plain Great Wall of Shanhaiguan as an illustration. By slicing and labeling the photos, creating a training set, and then training the model, the proposed approach automatically detects four types of damage (chalking, plants, ubiquinol, and cracking) on the surface of the Great Wall. This eliminates the need to expend costly human resources for manual identification following aerial photography, thereby accelerating the work. Through research, it is found that 1) compared with manual detection, this method can quickly and efficiently monitor a large number of wall samples in a short period of time and improve the efficiency of brick wall detection in ancient buildings. 2) Compared with previous approaches, the accuracy of the current method is improved. The identifiable types are increased to include chalking and ubiquinol, and the accuracy rate increases by 0.17% (from 85.70% before to 85.87% now). 3) This method can quickly identify the damaged parts of the wall without damaging the appearance of the historical building structure, enabling timely repair measures."
artificial intelligence cultural heritage,https://openalex.org/W4382137582,https://doi.org/10.3390/buildings13071607,A Bibliometric Analysis of Research on Historical Buildings and Digitization,2023,2023-06-25,article,13,True,Buildings,journal,Zhanzhu Wang; Hao Sun; Liping Yang,University of Shanghai for Science and Technology,CN,3D Surveying and Cultural Heritage; Conservation Techniques and Studies; Archaeological Research and Protection,Digitization; Data science; Computer science; Cloud computing; Architecture; Digital preservation; Photogrammetry; World Wide Web; Geography; Artificial intelligence,"The wealth of published data are valuable because, in addition to contributing to the advancement of scientific, technical, and policy knowledge, they can also provide critical information and guidance regarding published content, subject changes, and trends that demand greater attention. In the 21st century, digital technologies play an increasingly important role in “data capture”, “building management”, “virtual reconstruction”, and “building restoration”. The indispensable role of digital technology in addressing “data capture”, “building management”, “virtual reconstruction”, and “building restoration” has resulted in the publication of several high-quality publications. In this study, we retrieve textual data from Web of Science and mine the content of the documentary data using COOC, VOSviewer, CiteNetwork, and academic influence evaluation (AIE) software to gain insights into the prospects and opportunities for historic architecture and digitization research. The results indicate that greater progress has been made in research on the use of digital technologies for the conservation of historic buildings from 2019 to 2023, but cross-disciplinary, cross-institutional, and cross-border collaboration should be enhanced. The research frontiers identified indicate that photogrammetry, 3D modeling, point cloud, and deep learning will require sustained attention in the near future. Additionally, computational analyses of academic influence reveal that Italian institutions and authors have dominated research in this field in recent years. A new strategy and framework for data-driven bibliometric analysis involving historical architecture and digitization techniques are presented in this study. Based on general bibliometric methods, this study innovatively explores the scientific knowledge base and knowledge flow of highly cited articles, provides comprehensive evaluation indicators such as H-index, G-index, P-index, and Z-index for high-impact journals, institutions, and authors, and proposes a COOC-based idea to address the consistency of data sources among multiple software."
artificial intelligence cultural heritage,https://openalex.org/W4404887459,https://doi.org/10.2991/978-94-6463-578-2_2,Combining IIIF and AI Technologies to Enhance the Protection and Utilization of Cultural Heritage,2024,2024-01-01,book-chapter,0,True,Advances in intelligent systems research/Advances in Intelligent Systems Research,book series,Yuhan Wu,Nanjing University,CN,3D Surveying and Cultural Heritage,Cultural heritage; Environmental ethics; History; Archaeology; Philosophy,"This paper explores the integration of IIIF (International Image Interoperability Framework) and AI (Artificial Intelligence) technologies to enhance the preservation and utilization of cultural heritage.It highlights the value of cultural heritage and examines the potential of digitization in revitalizing and disseminating heritage assets.The paper reviews IIIF's core functionalities, such as high-resolution image display, annotation, and resource integration, and examines AI's role in data processing, image recognition, and 3D modeling.Case studies from international and domestic practices illustrate how these technologies are applied to repatriate lost cultural assets, enhance virtual museum experiences, and protect olfactory heritage.The paper emphasizes that combining IIIF and AI offers innovative solutions for digital heritage preservation, fostering interdisciplinary research and promoting global collaboration.The future potential and challenges of this technological integration are also discussed, with a focus on the need for continuous innovation to ensure the long-term protection of cultural heritage."
artificial intelligence cultural heritage,https://openalex.org/W4410596293,https://doi.org/10.1007/s44163-025-00268-y,Inheritance and protection of intangible cultural heritage in drama category based on AI human–computer interaction and digital technology,2025,2025-05-22,article,11,True,Discover Artificial Intelligence,journal,Jingjing Ren,Jinzhong University,CN,Artificial Intelligence Applications,Intangible cultural heritage; Drama; Inheritance (genetic algorithm); Cultural heritage; Sociology; Visual arts; Anthropology; Art; History; Archaeology,"To address the challenges of insufficient content interactivity and poor user experience in the inheritance of traditional drama intangible cultural heritage in modern society, this study proposes an innovative model—the Intelligent Heritage Transmission System for Drama Culture (IHTSDC). The model uses a Higher-Order Graph Neural Network (HOGNN) combined with an attention mechanism and Low-Rank Adaptation (LoRA) algorithm to construct a dynamic relational network. This captures complex interactions among characters, scenes, and plots, enabling deep human–computer interaction. Through in-depth analysis of seven traditional dramas, including Peking Opera, Kunqu Opera, Yue Opera, Huangmei Opera, Yu Opera, Pingju, and Cantonese Opera, the results show: (1) IHTSDC excels in information extraction and content generation, with accuracy rates generally exceeding 0.80 across the traditional dramas. Notably, Peking Opera achieves an accuracy of 0.88, demonstrating IHTSDC's ability to precisely capture key elements of traditional dramas. (2) IHTSDC shows significant adaptability to different user groups, with the highest average satisfaction score reaching 4.80 (out of 5.00) among nine simulated user groups. (3) The content generated by IHTSDC aligns highly with user interests, with the highest cosine similarity reaching 0.90 and the Jaccard index consistently around 0.80, highlighting the model's high-quality output in content interaction. In summary, IHTSDC innovatively enhances the digital presentation of traditional dramas through higher-order relational modeling, dynamic feedback mechanisms, and multi-level user preference analysis, making it more aligned with the needs of modern audiences. In practical applications, IHTSDC can assist cultural institutions, art groups, and educational departments in providing personalized and high-quality traditional drama content. This strengthens the inheritance and preservation of cultural heritage, promoting the digital transformation and sustainable development of traditional culture."
artificial intelligence cultural heritage,https://openalex.org/W4405394436,https://doi.org/10.54097/3hh73a52,The Road to Change in Oil Painting Creation and Appreciation in the Age of Artificial Intelligence,2024,2024-12-12,article,0,True,International Journal of Finance and Investment,journal,Yajun Shi; D. Tsetsegdelger,National University of Mongolia; Zibo Vocational Institute,CN; MN,Conservation Techniques and Studies; Digital Media and Visual Art; Aesthetic Perception and Analysis,Originality; Painting; Value (mathematics); Mode (computer interface); Perspective (graphical); Inheritance (genetic algorithm); Subject matter; Sociology; Artificial intelligence; Aesthetics,"This paper explores in depth the changes in the mode of oil painting creation and appreciation under the perspective of artificial intelligence technology and its multidimensional impact. It analyzes the transformation of the creation mode from the combination of traditional painting and AI to the automated creation by AI, as well as the expansion of the subject matter of creation in terms of cultural traditions and cross-boundary imagination; elaborates on the changes of aesthetic concepts in the mode of appreciation due to the characteristics of the AI works, and the innovation of the appreciation mode realized with the help of AI; and discusses the reexamination of the artistic value in terms of originality and authenticity, and the opportunities brought by cultural inheritance and innovation due to the AI. The opportunities for cultural heritage and innovation brought about by AI. Through the study of these aspects, we will provide a comprehensive understanding and thinking direction for the development of oil painting in the era of artificial intelligence."
artificial intelligence cultural heritage,https://openalex.org/W3159770848,https://doi.org/10.1155/2021/9935900,[Retracted] Dance Movement Recognition Based on Feature Expression and Attribute Mining,2021,2021-01-01,article,32,True,Complexity,journal,Xianfeng Zhai,Jiangxi Science and Technology Normal University,CN,Human Pose and Action Recognition; Human Motion and Animation; AI and Multimedia in Education,Computer science; Dance; Artificial intelligence; Movement (music); Feature (linguistics); Feature extraction; Expression (computer science); Pattern recognition (psychology); Motion (physics); Computer vision,"There are complex posture changes in dance movements, which lead to the low accuracy of dance movement recognition. And none of the current motion recognition uses the dancer’s attributes. The attribute feature of dancer is the important high‐level semantic information in the action recognition. Therefore, a dance movement recognition algorithm based on feature expression and attribute mining is designed to learn the complicated and changeable dancer movements. Firstly, the original image information is compressed by the time‐domain fusion module, and the information of action and attitude can be expressed completely. Then, a two‐way feature extraction network is designed, which extracts the details of the actions along the way and takes the sequence image as the input of the network. Then, in order to enhance the expression ability of attribute features, a multibranch spatial channel attention integration module (MBSC) based on an attention mechanism is designed to extract the features of each attribute. Finally, using the semantic inference and information transfer function of the graph convolution network, the relationship between attribute features and dancer features can be mined and deduced, and more expressive action features can be obtained; thus, high‐performance dance motion recognition is realized. The test and analysis results on the data set show that the algorithm can recognize the dance movement and improve the accuracy of the dance movement recognition effectively, thus realizing the movement correction function of the dancer."
artificial intelligence cultural heritage,https://openalex.org/W4395089101,https://doi.org/10.1186/s40494-024-01210-8,Value evaluation model (VEM) of ancient Chinese military settlement heritage: a case study of Liaoxi Corridor in the Ming Dynasty,2024,2024-03-25,article,17,True,Heritage Science,journal,Xixuan Fan; Zhen Wang; Shifen Li,Dalian University; Dalian University of Technology,CN,Value Engineering and Management; Environmental Quality and Pollution; Evaluation and Optimization Models,Settlement (finance); Value (mathematics); Archaeology; Geography; History; Ancient history; Mathematics; Statistics; Computer science; World Wide Web,"Abstract The Ming Great Wall Military Defense System is the most complete ancient military cultural heritage in China, which is of great significance to the study of China’s ancient military defense mechanism and pattern. Military settlement is an important carrier of this mechanism. The estimation and in-depth understanding of its value can further excavate the profound connotation of the military defense system and the Great Wall spatial pattern in the Ming Dynasty. This paper adopts the AHP-CRITIC weighting approach to determine the weights of the historical value, scientific value, social value, cultural value and artistic value of the settlement heritage, so as to construct the value evaluation model of military settlements, and takes 34 Ming Great Wall military settlements in the Liaoxi Corridor as an example for evaluation. The results of the evaluation identified the priority settlements for conservation and development, and also explored their relationship with historical status, urbanization processes and official policies. The evaluation model constructed in this paper has a certain universality, and can also be followed in the evaluation of other military settlements in the Ming Great Wall Defense System, so as to obtain the overall cognition of the settlement system."
artificial intelligence cultural heritage,https://openalex.org/W2971128324,https://doi.org/10.5539/ijel.v9n5p52,An Exploration of Impact Factors Influencing Students’ Reading Literacy in Singapore with Machine Learning Approaches,2019,2019-08-26,article,39,True,International Journal of English Linguistics,journal,Xin Dong; Jie Hu,Zhejiang University,CN,Online Learning and Analytics; Educational Methods and Media Use; Reading and Literacy Development,Reading (process); Literacy; Support vector machine; Mathematics education; Test (biology); Computer science; Set (abstract data type); Rank (graph theory); Artificial intelligence; Psychology,"This study identified the contextual factors which differentiated 15-year-old students with high- and low-achieving reading literacy in Singapore based on Program for International Student Assessment (PISA) 2015. 4,015 students from Singapore were collected from the public dataset of PISA 2015, with 2,646 high-achieving students and 1,369 low-achieving students in PISA reading literacy test. The impact of the overall 49 contextual factors on reading literacy was analyzed in three levels: student level, family level and school level. Support vector machine (SVM), a machine learning approach, was applied to analyze these contextual features. It indicated that SVM could effectively distinguish these two cohorts of readers with an accuracy score of 0.78. SVM-based recursive feature elimination (SVM-RFE), another machine learning approach, was then applied to rank these selected features. These features were outputted in descending order with regard to the degree of their significance to the differentiation. At last, an optimal set with 15 contextual factors was selected by RFE-CV (cross validation), which collectively affected the differentiation of students with high- and low-level of reading literacy. Based on the analysis, implications to further improving students&amp;rsquo; reading literacy can be achieved."
artificial intelligence cultural heritage,https://openalex.org/W4405836339,https://doi.org/10.1057/s41599-024-04331-4,Construction of digital creation development model of intangible cultural heritage crafts in China,2024,2024-12-27,article,17,True,Humanities and Social Sciences Communications,journal,Zhihua He; Congru Wen,Zhejiang Gongshang University,CN,Digital Media and Visual Art; Cultural Heritage Management and Preservation; Cultural Industries and Urban Development,China; Intangible cultural heritage; Cultural heritage; Architectural engineering; Business; Archaeology; History; Engineering,"The innovative use of digital technology to create resources for intangible cultural heritage crafts (ICHCs) has emerged as a new focus for preserving and transmitting ICHCs. However, not enough research has been done on the variables impacting how ICHCs behave when they are exploited for digital cultural creativity. In order to synthesized and refined the key factors influencing the digital cultural and creative development of intangible heritage crafts. A theoretical model for the digital development of intangible heritage crafts was constructed, and the structural relationships among the factors within the model were analyzed. This study collects relevant textual data from the official websites of China’s main provinces’ ICH (Intangible Cultural Heritage) and large databases between 2016 and 2022. It also develops a theoretical model using grounded theory. The findings indicate that the five primary categories of innovation and inheritance needs, management and maintenance capacity, creative development type, creative application strategy, and creative development benefits have a significant impact. Among these, the ICHC’s digital innovation and development behaviors are a result of their need for innovation, development, and inheritance. The development of digital innovation is contingent upon possessing management and maintenance capacity, which includes technical expertise, digital platform construction, Education and Training support, Community collaboration support and digital governance capability. There are three development modes for digital innovation and ICHC’s development: primary, secondary, and fusion. It utilizes the Focused Crafts Ontology approach, the Branded IP Benefits strategy, and the Focus on Product Innovation approach. The practice of digital innovation and the growth of ICHCs have led to the creation of new opportunities and the benefits of creative development, which are evident in economic, social, and endogenous development. A precise theoretical foundation for systematically examining the digital creative growth of ICHC can be obtained from the research presented in this paper. Establish a digital cultural creation resource that the global community can utilize to revive Intangible Cultural Heritage (ICH) and preserve traditional crafts."
